Scholarship Name,Provider/Sponsor,Level,Field of Study,Country/Region,Funding Type,Need Based?,Min Grade/GPA,Deadline,Amount,Description,Source
NCAA Postgraduate Scholarship,NCAA,postgraduate,athletics,,,,"Student-athletes across all three NCAA divisions who have completed their final season of athletic eligibility and demonstrate strong academics, athletic achievement, and leadership.","AWARDED THREE TIMES ANNUALLY (FALL, WINTER, SPRING)","$10,000 (one-time, non-renewable)","Recognizes graduating student-athletes for combined academic and athletic excellence, supporting their transition into graduate study.",https://www.ncaa.org/news/2026/3/11/media-center-ncaa-awards-42-postgraduate-scholarships-to-fall-sport-student-athletes.aspx
Mastercard Foundation Scholars Program (Undergraduate track),Mastercard Foundation (via 60+ partner universities),undergraduate,"any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)","African citizens (e.g. Cameroon, Ethiopia, Ghana, Kenya, Nigeria, Rwanda, Senegal, South Africa, Tanzania, Uganda, and more, depending on partner)",fully_funded,yes,Strong secondary school results; must be economically disadvantaged and demonstrate leadership potential; applicants must be 28 or younger (32 for refugees or persons with disabilities),Set individually by each partner university (commonly Nov-Jan window),,"A comprehensive scholarship covering tuition, accommodation, books, transport, and a living stipend for academically talented African students who could not otherwise afford university. Delivered through partner institutions such as Arizona State University, McGill, and African universities like KNUST.",NULL
LaunchCode Foundations / Software Development Programs,LaunchCode,adult_learner,computer_science,,,,Open to beginners with no prior coding background; no degree requirement.,"Rolling admissions (some cohorts have fixed dates such as June 10, 2026 and August 5, 2026)",,"A tuition-free technical training pathway combining coding fundamentals, mentorship, and career support for students pivoting into software development.",
BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,North Carolina State University,undergraduate,business,,,,Student teams developing new or existing business ventures.,"FEBRUARY 18, 2026",NULL,A campus-backed pitch competition rewarding students who develop and present real business ventures.,https://scholarshipsandgrants.us/other/scholarships-for-student-entrepreneurs/
NSHSS STUDENT ATHLETE SCHOLARSHIP,National Society of High School Scholars (NSHSS),high_school,athletics,,,,,Varies by cycle,N/A,Recognizes dedicated student-athletes who are active members of the National Society of High School Scholars.,https://scholarships360.org/scholarships/top-athletic-scholarships/
Women Techmakers Scholars Program,Google,undergraduate,"computer science, computer engineering, or closely related technical fields","Africa, Europe, and the Middle East",partial,no,Demonstrated passion for and involvement in computer science/technology; open at any study level within undergraduate and graduate study,Varies by cycle,,"Supports women pursuing computer science, computer engineering, or related technical degrees across Africa, Europe, and the Middle East, alongside community-building and mentorship opportunities.",
Blacks@Microsoft (BAM) Scholarship,Microsoft,n/a,computer_science,,,,"Black high school students planning to major in engineering, computer science, or business. Minimum 3.3 GPA and demonstrated financial hardship required. Requires resume, transcript, and letters of recommendation.",Varies by cycle,"$1,000 - $20,000 (multiple award tiers)","A need-based award program offering four $20,000, eight $10,000, and fifteen $1,000 scholarships annually to Black students entering tech-related fields.",NULL
Chevening Scholarship,"UK Foreign, Commonwealth and Development Office (FCDO)",postgraduate,any (one-year taught master's degree at any uk university),,fully_funded,no,"Completed undergraduate degree qualifying for UK Master's entry (roughly equivalent to a 2:1 honours degree); no formal minimum GPA, but strong academics help; requires at least 2,800 hours (~2 years) of work experience after graduation","OPENS AUGUST, CLOSES EARLY OCTOBER EACH YEAR (E.G. OCTOBER 7)",,"A prestigious UK government scholarship covering full tuition, a monthly living stipend, and travel for a one-year Master's degree. Selection is based on leadership potential, networking ability, and a clear plan for impact, not primarily financial need.",TBC
Generation Google Scholarship,Google,undergraduate,computer_science,TBC,,,"Applicant must already be accepted into a bachelor's degree program in computer science or a related field, and must show financial need. Open to all students, with special encouragement for those from underrepresented backgrounds.",VARIES BY CYCLE,"$10,000 (US) / $5,000 (Canada)",An essay-based award for academically strong students whose financial situation could otherwise limit their ability to pursue a computer science degree.,https://www.nextgenbootcamp.com/blog/coding-scholarships-for-high-school-students
UNCF STEM Scholarship,United Negro College Fund (UNCF),high_school,computer_science,,,,Minimum 3.0 GPA. Award amount is calculated based on family contribution and other financial aid already received (a 'last-dollar' model).,,,"Supports Black students pursuing STEM degrees, filling the remaining funding gap after other aid is applied.",https://www.nextgenbootcamp.com/blog/coding-scholarships-for-high-school-students
DAAD Leadership for Africa (Master's in Germany),German Academic Exchange Service (DAAD),master's degree,most fields including engineering and architecture (subject-specific scholarship tracks apply); a full master's degree in medicine is not eligible,"Currently open to citizens (and eligible refugees) of Cameroon, Senegal, Togo, South Sudan, and Uganda",fully_funded,,Holds a Bachelor's degree qualifying for admission to a German Master's program,APPLICATION WINDOWS VARY BY COUNTRY (E.G. APRIL-JUNE FOR SOME TRACKS),,"Supports highly qualified graduates and refugees from a small set of African countries to pursue a tuition-free Master's degree in Germany, with tailored info sessions to guide the application process.",https://www.daad.de/en/the-daad/intersecting-dimensions-topics/sustainable-development/funding-programmes/funding-programmes-for-students-a-z/leadership-for-africa/scholarship-west-and-central-africa/
Beit Trust Scholarships,The Beit Trust,n/a,any,"Malawi, Zambia, and Zimbabwe",fully_funded,yes,Strong undergraduate academic record,Varies by cycle,NULL,"Provides Master's and PhD funding for students from Malawi, Zambia, or Zimbabwe to study at leading universities in the UK, Ireland, or South Africa.",https://www.topuniversities.com/student-info/scholarship-advice/international-scholarships-african-students
DECA SCHOLARSHIP,DECA Inc.,high_school,business,,,,"High school or college DECA members intending to study entrepreneurship, finance, hospitality, management, or marketing.",Varies by cycle,"$5,000 (5 awards)",Supports DECA student members pursuing business-related fields of study.,
SBB Research Group STEM Scholarship,SBB Research Group,undergraduate,computer_science,,,,"Open to students pursuing interdisciplinary combinations of science, technology, engineering, and mathematics.",rolling,,"Supports students creating value through interdisciplinary STEM study, including software and computational fields.",TBC
Rotary Peace Fellowship,N/A,postgraduate,"peace and conflict studies, international relations, and related social science fields",Open worldwide,fully_funded,no,"Relevant work or volunteer experience in peace-building or related fields, alongside strong academic credentials",VARIES BY CYCLE,NULL,"Fully funds a Master's degree in peace and conflict resolution-related fields at partner universities worldwide, covering tuition, accommodation, transportation, and field-study expenses.",https://www.topuniversities.com/student-info/scholarship-advice/international-scholarships-african-students
DAAD In-Country/In-Region Master's Scholarship (Sub-Saharan Africa),N/A,null,"development-related fields at partner african universities (includes engineering, science, urban studies, and other disciplines depending on the specific program)",,fully_funded,yes,First academic degree (Bachelor's) relevant to the Master's program applied for; female applicants and candidates from less-privileged regions are especially encouraged,Varies by individual program; new calls typically published in autumn for the following year,,"Funds Master's study at top African universities and research institutions, covering tuition, a monthly stipend, study/research allowances, and thesis publishing costs, keeping talented graduates working within the African higher education system.",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000486
Africa London Nagasaki (ALN) Fund,London School of Hygiene & Tropical Medicine / Nagasaki University,postgraduate,medicine and disease control / tropical medicine,TBC,,no,NULL,Varies by cycle,,"Funds a Master's degree related to disease control in Africa, with recipients choosing to study at the London School of Hygiene and Tropical Medicine or Nagasaki University in Japan.",https://www.topuniversities.com/student-info/scholarship-advice/international-scholarships-african-students
Future Designer Scholarship,Scholarships360,undergraduate,art_design,,,,Incoming or current full-time college students over 17. Requires designing a holiday-themed greeting card.,Varies by cycle,"$1,000","A design contest scholarship for students with a creative eye, centered on holiday card design.",
Association for Iron & Steel Technology Scholarship,AIST,undergraduate,computer_science,,,,,"October 15, 2026","$10,000",A technology-and-engineering focused award for students in computing and data-related majors.,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships
KMF Scholarship,KMF Foundation,undergraduate,business,,,,High-achieving college juniors and seniors with an entrepreneurial mindset and a career focus in business or technology; special consideration given to students from less-privileged backgrounds.,N/A,TBC,"Supports mature, high-achieving students preparing to enter business or tech careers.",https://www.teenlife.com/blog/scholarships-for-business-and-entrepreneurship/
National Writers Association Foundation Scholarships,N/A,all,writing,,,,,Applications accepted October 1 / December 31 each year,,Supports aspiring writers of any background in continuing their education and craft development.,https://scholarships360.org/scholarships/creative-writing-scholarships/
Commonwealth Shared Scholarship,"Commonwealth Scholarship Commission (CSC), UK",postgraduate,"any subject with clear relevance to the economic, social, or technological development of the applicant's home country (varies by participating uk university each year)",TBC,fully_funded,yes,"First degree of at least upper second-class (2:1) honours, or a lower second-class (2:2) degree plus a relevant postgraduate qualification; must not have studied or worked a year or more in a high-income country","OPENS MID/NOVEMBER, CLOSES EARLY DECEMBER (E.G. DECEMBER 9, 2025 FOR THE 2026/27 CYCLE)",,"Jointly funded by the CSC and participating UK universities, this covers a one-year taught Master's degree including tuition, living costs, and flights, specifically for students who could not otherwise afford UK study.",
