id,scholarship_name,chunk_type,text,tokens
washington_state_opportunity_scholarship_baccalaureate__amount,Washington State Opportunity Scholarship (Baccalaureate),field:Amount,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Amount: Varies",17
washington_state_opportunity_scholarship_baccalaureate__description,Washington State Opportunity Scholarship (Baccalaureate),field:Description,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

A statewide program designed to help Washington students afford degrees in fields the state has identified as high-demand, including tech and programming.",37
john_carlton_myatt_writing_scholarship__summary,John Carlton Myatt Writing Scholarship,summary,"Scholarship: John Carlton Myatt Writing Scholarship
A regional award supporting graduating seniors from a specific North Carolina county who show promise in creative writing.
Provider: Guilford County Community Foundation
Level: high_school
Field: writing",33
john_carlton_myatt_writing_scholarship__provider_sponsor,John Carlton Myatt Writing Scholarship,field:Provider/Sponsor,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Provider/Sponsor: Guilford County Community Foundation",20
john_carlton_myatt_writing_scholarship__level,John Carlton Myatt Writing Scholarship,field:Level,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Level: high_school",17
john_carlton_myatt_writing_scholarship__field_of_study,John Carlton Myatt Writing Scholarship,field:Field of Study,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Field of Study: writing",19
john_carlton_myatt_writing_scholarship__min_grade_gpa,John Carlton Myatt Writing Scholarship,field:Min Grade/GPA,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Min Grade/GPA: Graduating high school seniors from Guilford County, North Carolina who display creative writing talent.",31
john_carlton_myatt_writing_scholarship__deadline,John Carlton Myatt Writing Scholarship,field:Deadline,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Deadline: N/A",17
john_carlton_myatt_writing_scholarship__amount,John Carlton Myatt Writing Scholarship,field:Amount,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

Amount: TBC",17
john_carlton_myatt_writing_scholarship__description,John Carlton Myatt Writing Scholarship,field:Description,"Scholarship: John Carlton Myatt Writing Scholarship
Provider: Guilford County Community Foundation
Level: high_school
Field: writing

A regional award supporting graduating seniors from a specific North Carolina county who show promise in creative writing.",33
doodle_for_google_scholarship__summary,Doodle for Google Scholarship,summary,"Scholarship: Doodle for Google Scholarship
A design competition that turns student artwork into Google's homepage logo while awarding scholarship funding to winners.
Level: high_school
Field: art_design",26
doodle_for_google_scholarship__level,Doodle for Google Scholarship,field:Level,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

Level: high_school",11
doodle_for_google_scholarship__field_of_study,Doodle for Google Scholarship,field:Field of Study,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

Field of Study: art_design",13
doodle_for_google_scholarship__min_grade_gpa,Doodle for Google Scholarship,field:Min Grade/GPA,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

Min Grade/GPA: Open to students with artistic ability; requires creating an original 'Doodle' design reflecting personal goals and creativity.",28
doodle_for_google_scholarship__deadline,Doodle for Google Scholarship,field:Deadline,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

Deadline: rolling",11
doodle_for_google_scholarship__amount,Doodle for Google Scholarship,field:Amount,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

Amount: N/A",11
doodle_for_google_scholarship__description,Doodle for Google Scholarship,field:Description,"Scholarship: Doodle for Google Scholarship
Level: high_school
Field: art_design

A design competition that turns student artwork into Google's homepage logo while awarding scholarship funding to winners.",26
mandela_rhodes_scholarship__summary,Mandela Rhodes Scholarship,summary,"Scholarship: Mandela Rhodes Scholarship
Supports African students with strong leadership qualities to complete an honours or Master's degree at a recognized South African university, alongside a leadership development program.
Level: postgraduate
Field: any",33
mandela_rhodes_scholarship__level,Mandela Rhodes Scholarship,field:Level,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Level: postgraduate",10
mandela_rhodes_scholarship__field_of_study,Mandela Rhodes Scholarship,field:Field of Study,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Field of Study: any",12
mandela_rhodes_scholarship__country_region,Mandela Rhodes Scholarship,field:Country/Region,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Country/Region: African citizens",11
mandela_rhodes_scholarship__need_based,Mandela Rhodes Scholarship,field:Need Based?,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Need Based?: no",11
mandela_rhodes_scholarship__min_grade_gpa,Mandela Rhodes Scholarship,field:Min Grade/GPA,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Min Grade/GPA: Strong academic record combined with demonstrated leadership ability; selection emphasizes leadership potential as much as grades",26
mandela_rhodes_scholarship__deadline,Mandela Rhodes Scholarship,field:Deadline,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Deadline: Varies by cycle (commonly around mid/June)",15
mandela_rhodes_scholarship__description,Mandela Rhodes Scholarship,field:Description,"Scholarship: Mandela Rhodes Scholarship
Level: postgraduate
Field: any

Supports African students with strong leadership qualities to complete an honours or Master's degree at a recognized South African university, alongside a leadership development program.",33
mastercard_foundation_scholars_program_graduate_master_s_track__summary,Mastercard Foundation Scholars Program (Graduate/Master's track),summary,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Funds Master's-level study for African graduates, covering tuition, fees, and living costs, with mentoring and leadership development built into the program.
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)",53
mastercard_foundation_scholars_program_graduate_master_s_track__provider_sponsor,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Provider/Sponsor,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Provider/Sponsor: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)",43
mastercard_foundation_scholars_program_graduate_master_s_track__level,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Level,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Level: postgraduate",34
mastercard_foundation_scholars_program_graduate_master_s_track__field_of_study,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Field of Study,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Field of Study: any (includes engineering, information technology, and ai at partners like cmu-africa)",46
mastercard_foundation_scholars_program_graduate_master_s_track__country_region,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Country/Region,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Country/Region: African citizens; second citizenship from outside Africa is not eligible",43
mastercard_foundation_scholars_program_graduate_master_s_track__need_based,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Need Based?,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Need Based?: yes",35
mastercard_foundation_scholars_program_graduate_master_s_track__min_grade_gpa,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Min Grade/GPA,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Min Grade/GPA: Completed or nearly-completed Bachelor's degree with strong academic results; demonstrated financial need and commitment to impact in Africa",52
mastercard_foundation_scholars_program_graduate_master_s_track__deadline,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Deadline,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Deadline: TBD",34
mastercard_foundation_scholars_program_graduate_master_s_track__description,Mastercard Foundation Scholars Program (Graduate/Master's track),field:Description,"Scholarship: Mastercard Foundation Scholars Program (Graduate/Master's track)
Provider: Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)
Level: postgraduate
Field: any (includes engineering, information technology, and ai at partners like cmu-africa)

Funds Master's-level study for African graduates, covering tuition, fees, and living costs, with mentoring and leadership development built into the program.",53
mckelvey_foundation_entrepreneur_scholarship__summary,McKelvey Foundation Entrepreneur Scholarship,summary,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Supports student entrepreneurs who have already taken the leap into starting a business, alongside access to a network of experienced founders.
Provider: McKelvey Foundation
Level: undergraduate
Field: business",33
mckelvey_foundation_entrepreneur_scholarship__provider_sponsor,McKelvey Foundation Entrepreneur Scholarship,field:Provider/Sponsor,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Provider/Sponsor: McKelvey Foundation",15
mckelvey_foundation_entrepreneur_scholarship__level,McKelvey Foundation Entrepreneur Scholarship,field:Level,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Level: undergraduate",14
mckelvey_foundation_entrepreneur_scholarship__field_of_study,McKelvey Foundation Entrepreneur Scholarship,field:Field of Study,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Field of Study: business",16
mckelvey_foundation_entrepreneur_scholarship__min_grade_gpa,McKelvey Foundation Entrepreneur Scholarship,field:Min Grade/GPA,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Min Grade/GPA: Students who have already started their own businesses.",22
mckelvey_foundation_entrepreneur_scholarship__deadline,McKelvey Foundation Entrepreneur Scholarship,field:Deadline,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Deadline: VARIES BY CYCLE",16
mckelvey_foundation_entrepreneur_scholarship__description,McKelvey Foundation Entrepreneur Scholarship,field:Description,"Scholarship: McKelvey Foundation Entrepreneur Scholarship
Provider: McKelvey Foundation
Level: undergraduate
Field: business

Supports student entrepreneurs who have already taken the leap into starting a business, alongside access to a network of experienced founders.",33
csun_art_design_department_scholarships__summary,CSUN Art & Design Department Scholarships,summary,"Scholarship: CSUN Art & Design Department Scholarships
A set of departmental scholarships supporting art and design students across multiple studio concentrations.
Provider: California State University, Northridge
Level: undergraduate
Field: art_design",30
csun_art_design_department_scholarships__provider_sponsor,CSUN Art & Design Department Scholarships,field:Provider/Sponsor,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

Provider/Sponsor: California State University, Northridge",21
csun_art_design_department_scholarships__level,CSUN Art & Design Department Scholarships,field:Level,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

Level: undergraduate",18
csun_art_design_department_scholarships__field_of_study,CSUN Art & Design Department Scholarships,field:Field of Study,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

Field of Study: art_design",20
csun_art_design_department_scholarships__min_grade_gpa,CSUN Art & Design Department Scholarships,field:Min Grade/GPA,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

Min Grade/GPA: Continuing full-time undergraduate or graduate students enrolled in the Department of Art and Design; several awards require a minimum 3.0 GPA and/or demonstrated financial need, with some preferences for specific concentrations like ceramics, photography, or animation.",54
csun_art_design_department_scholarships__deadline,CSUN Art & Design Department Scholarships,field:Deadline,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

Deadline: rolling",18
csun_art_design_department_scholarships__description,CSUN Art & Design Department Scholarships,field:Description,"Scholarship: CSUN Art & Design Department Scholarships
Provider: California State University, Northridge
Level: undergraduate
Field: art_design

A set of departmental scholarships supporting art and design students across multiple studio concentrations.",30
thea_scholarship__summary,THEA Scholarship,summary,"Scholarship: THEA Scholarship
A talent-based award for students with artistic ability across visual art, dance, music, and other creative disciplines.
Provider: THEA Foundation
Level: high_school
Field: art_design",27
thea_scholarship__provider_sponsor,THEA Scholarship,field:Provider/Sponsor,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Provider/Sponsor: THEA Foundation",13
thea_scholarship__level,THEA Scholarship,field:Level,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Level: high_school",12
thea_scholarship__field_of_study,THEA Scholarship,field:Field of Study,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Field of Study: art_design",14
thea_scholarship__min_grade_gpa,THEA Scholarship,field:Min Grade/GPA,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Min Grade/GPA: Awarded solely on artistic talent regardless of GPA, test scores, or intended college major; portable to any college the recipient attends.",33
thea_scholarship__deadline,THEA Scholarship,field:Deadline,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Deadline: Varies by cycle",14
thea_scholarship__amount,THEA Scholarship,field:Amount,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

Amount: Varies",12
thea_scholarship__description,THEA Scholarship,field:Description,"Scholarship: THEA Scholarship
Provider: THEA Foundation
Level: high_school
Field: art_design

A talent-based award for students with artistic ability across visual art, dance, music, and other creative disciplines.",27
daad_doctoral_programmes_in_germany__summary,DAAD Doctoral Programmes in Germany,summary,"Scholarship: DAAD Doctoral Programmes in Germany
Funds full doctoral study in Germany at no tuition cost, targeting academically strong candidates with high research potential across all disciplines.
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes",48
daad_doctoral_programmes_in_germany__provider_sponsor,DAAD Doctoral Programmes in Germany,field:Provider/Sponsor,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Provider/Sponsor: German Academic Exchange Service (DAAD)",33
daad_doctoral_programmes_in_germany__level,DAAD Doctoral Programmes in Germany,field:Level,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Level: phd",29
daad_doctoral_programmes_in_germany__field_of_study,DAAD Doctoral Programmes in Germany,field:Field of Study,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Field of Study: any research field, including engineering, at state-recognized german universities and research institutes",42
daad_doctoral_programmes_in_germany__country_region,DAAD Doctoral Programmes in Germany,field:Country/Region,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Country/Region: Open worldwide, including applicants from Kenya, Nigeria, Ghana, South Africa, and other African countries",42
daad_doctoral_programmes_in_germany__need_based,DAAD Doctoral Programmes in Germany,field:Need Based?,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Need Based?: no",30
daad_doctoral_programmes_in_germany__min_grade_gpa,DAAD Doctoral Programmes in Germany,field:Min Grade/GPA,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Min Grade/GPA: Must have completed a Master's (or equivalent) degree before the funding period begins, with strong research potential",46
daad_doctoral_programmes_in_germany__deadline,DAAD Doctoral Programmes in Germany,field:Deadline,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Deadline: VARIES BY SPECIFIC DOCTORAL PROGRAM",33
daad_doctoral_programmes_in_germany__description,DAAD Doctoral Programmes in Germany,field:Description,"Scholarship: DAAD Doctoral Programmes in Germany
Provider: German Academic Exchange Service (DAAD)
Level: phd
Field: any research field, including engineering, at state-recognized german universities and research institutes

Funds full doctoral study in Germany at no tuition cost, targeting academically strong candidates with high research potential across all disciplines.",48
driven_at_heart_scholarship__summary,Driven at Heart Scholarship,summary,"Scholarship: Driven at Heart Scholarship
Awards top finalists a VIP experience at the Wisconsin Athletic Hall of Fame Induction Ceremony alongside cash scholarships.
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics",33
driven_at_heart_scholarship__provider_sponsor,Driven at Heart Scholarship,field:Provider/Sponsor,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Provider/Sponsor: Wisconsin Athletic Hall of Fame",21
driven_at_heart_scholarship__level,Driven at Heart Scholarship,field:Level,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Level: high_school",17
